ASIN,Brand,SoldBy,MerchantID,country_merchant_octo,country_product_octo
B083G13CBK,STARDUST FILTER,HOSI COMPANY,A0119796APOSTRWDPYE6,KR,
B08BLLN2P5,xcivi,Xcivi,A038338732HYPKP7IJ7WB,CN,
B08TLV4LSS,LUK UN JUN,LUK UN JUN,A1007A8AZY9GGN,CN,
B08Z7P5MQJ,KZWUS,SHI ZHI PING,A100QQQVI890BY,CN,
B0787CTTJR,VViViD,VViViD Vinyl,A10111992WJRYRFBZH9IS,CA,
B076QLTJCZ,Chefman,Bask by Blu,A102LMUWN17KXG,US,
B088HJCCSQ,Zylione,ZYLONE,A102SN2OZU6M4V,CN,
B07867NZV9,Bluedrop,Bluedrop,A1057FBD44ECMO,CN,
B08VDRRGM3,FLTOP,FLTOP,A105I9GWG58G8L,CN,
B00HPQKB24,Computer Security Products,5 Star North,A105JXUTQJ82QI,US,
B08G1RFQN3,PPINA,"Xiamen Xincheng Composites Technology Co.,Ltd",A1072BIXHVLJVD,an,
B07NDP7WRV,Raven,LOBO JACK,A10765CPACW7B5,US,
B08T1N99KJ,Saffire,LOBO JACK,A10765CPACW7B5,US,
B07PBDMG4D,isinlive,littlenature,A107SA7XAB87XV,an,
B08B38R79P,Jin&Bao,Jin&BaoDirect,A10830G9S6YR0N,an,
B08V8X8PHP,AIRSEE,Namutso,A1098W8NJWIO6F,an,
B06VWHFQH6,Eleganceinlife,Eleganceinlife,A10A46S4DFOP5G,an,
B085T1FZ59,NATRUTH,NATRUTH-US,A10AH28NHSMO40,an,
B085NMFCQT,ZKG,Bluesky1990,A10AW5IR1S3WJ4,an,
B08P72HX5D,La Cuisine for life,La Cuisine US,A10BCHSMFM8WZS,an,
B08YZ7KZXB,OIGOT,OIGOT LLC,A10E6Z496T2FL8,an,
B0833PZ73X,HausRoland,Riwendell,A10ER2Y88G3DW,an,
B077KRTJNQ,Riwendell,Riwendell,A10ER2Y88G3DW,an,
B08B3BJC54,FOOD SHIELD,Genetech.Japan,A10GXDAQ1K6Z8Q,an,
B08Z3NVZ16,AODINI,Mai jili,A10J1FL3W1CPU2,,
B002WB12WK,finum,TJ Originals,A10JA2HNHZPYXU,,
B078HH3BGB,Mainstay,AME Supply Co,A10JBMESOGWV2J,,
B08YN4VJNJ,changle,Coemin,A10JKL2GY9LQFZ,CN,
B08ZXHC7L8,KitchenBoss,KitchenBoss,A10KT5RNOXHXVF,CN,
